ADANIPOWER | 2023-03 | ROE_ANOMALY | computed=35.91% source=57.10% diff=21.19pp | category=data source issue (source value likely stale/mis-scaled; ratio engine value used for analytics)
ADANIPOWER | 2024-03 | ROE_ANOMALY | computed=48.28% source=57.10% diff=8.82pp | category=data source issue (source value likely stale/mis-scaled; ratio engine value used for analytics)
AMBUJACEM | 2012-12 | ROCE_ANOMALY | computed=28.70% source=12.80% diff=15.90pp | category=version difference
AMBUJACEM | 2012-12 | ROE_ANOMALY | computed=14.69% source=9.24% diff=5.45pp | category=data source issue (source value likely stale/mis-scaled; ratio engine value used for analytics)
AMBUJACEM | 2013-12 | ROCE_ANOMALY | computed=21.65% source=12.80% diff=8.85pp | category=version difference
AMBUJACEM | 2014-12 | ROCE_ANOMALY | computed=23.29% source=12.80% diff=10.49pp | category=version difference
AMBUJACEM | 2014-12 | ROE_ANOMALY | computed=14.77% source=9.24% diff=5.53pp | category=data source issue (source value likely stale/mis-scaled; ratio engine value used for analytics)
AMBUJACEM | 2015-12 | ROCE_ANOMALY | computed=18.39% source=12.80% diff=5.59pp | category=version difference
AMBUJACEM | 2016-12 | ROCE_ANOMALY | computed=18.25% source=12.80% diff=5.45pp | category=version difference
AMBUJACEM | 2017-12 | ROCE_ANOMALY | computed=20.26% source=12.80% diff=7.46pp | category=version difference
AMBUJACEM | 2018-12 | ROCE_ANOMALY | computed=18.93% source=12.80% diff=6.13pp | category=version difference
AMBUJACEM | 2019-12 | ROCE_ANOMALY | computed=21.55% source=12.80% diff=8.75pp | category=version difference
AMBUJACEM | 2020-12 | ROCE_ANOMALY | computed=22.79% source=12.80% diff=9.99pp | category=version difference
AMBUJACEM | 2021-12 | ROCE_ANOMALY | computed=25.02% source=12.80% diff=12.22pp | category=version difference
AMBUJACEM | 2021-12 | ROE_ANOMALY | computed=14.64% source=9.24% diff=5.40pp | category=data source issue (source value likely stale/mis-scaled; ratio engine value used for analytics)
AMBUJACEM | 2024-03 | ROCE_ANOMALY | computed=18.51% source=12.80% diff=5.71pp | category=version difference
APOLLOHOSP | 2016-03 | ROE_ANOMALY | computed=7.05% source=13.81% diff=6.76pp | category=data source issue (source value likely stale/mis-scaled; ratio engine value used for analytics)
APOLLOHOSP | 2017-03 | ROE_ANOMALY | computed=3.95% source=13.81% diff=9.86pp | category=data source issue (source value likely stale/mis-scaled; ratio engine value used for analytics)
APOLLOHOSP | 2018-03 | ROE_ANOMALY | computed=1.85% source=13.81% diff=11.96pp | category=data source issue (source value likely stale/mis-scaled; ratio engine value used for analytics)
APOLLOHOSP | 2019-03 | ROE_ANOMALY | computed=6.00% source=13.81% diff=7.81pp | category=data source issue (source value likely stale/mis-scaled; ratio engine value used for analytics)
APOLLOHOSP | 2020-03 | ROCE_ANOMALY | computed=26.14% source=17.20% diff=8.94pp | category=version difference
APOLLOHOSP | 2021-03 | ROE_ANOMALY | computed=2.98% source=13.81% diff=10.83pp | category=data source issue (source value likely stale/mis-scaled; ratio engine value used for analytics)
APOLLOHOSP | 2022-03 | ROCE_ANOMALY | computed=26.39% source=17.20% diff=9.19pp | category=version difference
APOLLOHOSP | 2022-03 | ROE_ANOMALY | computed=19.70% source=13.81% diff=5.89pp | category=data source issue (source value likely stale/mis-scaled; ratio engine value used for analytics)
ASIANPAINT | 2013-03 | ROCE_ANOMALY | computed=50.92% source=41.75% diff=9.17pp | category=version difference
ASIANPAINT | 2014-03 | ROCE_ANOMALY | computed=49.63% source=41.75% diff=7.88pp | category=version difference
ASIANPAINT | 2018-03 | ROE_ANOMALY | computed=24.95% source=31.45% diff=6.50pp | category=data source issue (source value likely stale/mis-scaled; ratio engine value used for analytics)
ASIANPAINT | 2019-03 | ROE_ANOMALY | computed=23.31% source=31.45% diff=8.14pp | category=data source issue (source value likely stale/mis-scaled; ratio engine value used for analytics)
ASIANPAINT | 2021-03 | ROE_ANOMALY | computed=25.04% source=31.45% diff=6.41pp | category=data source issue (source value likely stale/mis-scaled; ratio engine value used for analytics)
ASIANPAINT | 2022-03 | ROCE_ANOMALY | computed=33.12% source=41.75% diff=8.63pp | category=version difference
ASIANPAINT | 2022-03 | ROE_ANOMALY | computed=22.34% source=31.45% diff=9.11pp | category=data source issue (source value likely stale/mis-scaled; ratio engine value used for analytics)
ASIANPAINT | 2023-03 | ROE_ANOMALY | computed=26.23% source=31.45% diff=5.22pp | category=data source issue (source value likely stale/mis-scaled; ratio engine value used for analytics)
ATGL | 2019-03 | ROCE_ANOMALY | computed=34.36% source=21.20% diff=13.16pp | category=version difference
ATGL | 2020-03 | ROCE_ANOMALY | computed=33.65% source=21.20% diff=12.45pp | category=version difference
ATGL | 2020-03 | ROE_ANOMALY | computed=29.64% source=20.50% diff=9.14pp | category=data source issue (source value likely stale/mis-scaled; ratio engine value used for analytics)
ATGL | 2021-03 | ROCE_ANOMALY | computed=29.80% source=21.20% diff=8.60pp | category=version difference
BAJAJ-AUTO | 2013-03 | ROCE_ANOMALY | computed=54.35% source=33.50% diff=20.85pp | category=version difference
BAJAJ-AUTO | 2013-03 | ROE_ANOMALY | computed=38.85% source=26.50% diff=12.35pp | category=data source issue (source value likely stale/mis-scaled; ratio engine value used for analytics)
BAJAJ-AUTO | 2014-03 | ROCE_ANOMALY | computed=47.30% source=33.50% diff=13.80pp | category=version difference
BAJAJ-AUTO | 2014-03 | ROE_ANOMALY | computed=33.24% source=26.50% diff=6.74pp | category=data source issue (source value likely stale/mis-scaled; ratio engine value used for analytics)
BAJAJ-AUTO | 2015-03 | ROCE_ANOMALY | computed=38.87% source=33.50% diff=5.37pp | category=version difference
BAJAJ-AUTO | 2016-03 | ROCE_ANOMALY | computed=42.35% source=33.50% diff=8.85pp | category=version difference
BAJAJ-AUTO | 2018-03 | ROE_ANOMALY | computed=20.66% source=26.50% diff=5.84pp | category=data source issue (source value likely stale/mis-scaled; ratio engine value used for analytics)
BAJAJ-AUTO | 2019-03 | ROE_ANOMALY | computed=21.21% source=26.50% diff=5.29pp | category=data source issue (source value likely stale/mis-scaled; ratio engine value used for analytics)
BAJAJ-AUTO | 2021-03 | ROCE_ANOMALY | computed=23.76% source=33.50% diff=9.74pp | category=version difference
BAJAJ-AUTO | 2021-03 | ROE_ANOMALY | computed=17.81% source=26.50% diff=8.69pp | category=data source issue (source value likely stale/mis-scaled; ratio engine value used for analytics)
BAJAJ-AUTO | 2022-03 | ROCE_ANOMALY | computed=26.45% source=33.50% diff=7.05pp | category=version difference
BAJAJ-AUTO | 2022-03 | ROE_ANOMALY | computed=20.65% source=26.50% diff=5.85pp | category=data source issue (source value likely stale/mis-scaled; ratio engine value used for analytics)
BAJAJ-AUTO | 2023-03 | ROCE_ANOMALY | computed=27.70% source=33.50% diff=5.80pp | category=version difference
BAJAJ-AUTO | 2023-03 | ROE_ANOMALY | computed=20.64% source=26.50% diff=5.86pp | category=data source issue (source value likely stale/mis-scaled; ratio engine value used for analytics)
AXISBANK | 2013-03 | OPM_MISMATCH | computed=30.58% reported=1353.00% | category=formula discrepancy
AXISBANK | 2013-03 | FINANCIALS_SECTOR_CARVEOUT | high_leverage_flag suppressed (structurally normal for banks/NBFCs/insurance) | category=data source issue
AXISBANK | 2014-03 | OPM_MISMATCH | computed=31.47% reported=2307.00% | category=formula discrepancy
AXISBANK | 2014-03 | FINANCIALS_SECTOR_CARVEOUT | high_leverage_flag suppressed (structurally normal for banks/NBFCs/insurance) | category=data source issue
AXISBANK | 2015-03 | OPM_MISMATCH | computed=31.36% reported=3097.00% | category=formula discrepancy
AXISBANK | 2015-03 | FINANCIALS_SECTOR_CARVEOUT | high_leverage_flag suppressed (structurally normal for banks/NBFCs/insurance) | category=data source issue
AXISBANK | 2016-03 | OPM_MISMATCH | computed=32.61% reported=3466.00% | category=formula discrepancy
AXISBANK | 2016-03 | FINANCIALS_SECTOR_CARVEOUT | high_leverage_flag suppressed (structurally normal for banks/NBFCs/insurance) | category=data source issue
AXISBANK | 2017-03 | OPM_MISMATCH | computed=53.45% reported=-5715.00% | category=formula discrepancy
AXISBANK | 2017-03 | FINANCIALS_SECTOR_CARVEOUT | high_leverage_flag suppressed (structurally normal for banks/NBFCs/insurance) | category=data source issue
AXISBANK | 2017-03 | ROE_ANOMALY | computed=6.53% source=18.40% diff=11.87pp | category=data source issue (source value likely stale/mis-scaled; ratio engine value used for analytics)
AXISBANK | 2018-03 | OPM_MISMATCH | computed=63.12% reported=-10277.00% | category=formula discrepancy
AXISBANK | 2018-03 | FINANCIALS_SECTOR_CARVEOUT | high_leverage_flag suppressed (structurally normal for banks/NBFCs/insurance) | category=data source issue
AXISBANK | 2018-03 | ROE_ANOMALY | computed=0.43% source=18.40% diff=17.97pp | category=data source issue (source value likely stale/mis-scaled; ratio engine value used for analytics)
AXISBANK | 2019-03 | OPM_MISMATCH | computed=49.39% reported=-5447.00% | category=formula discrepancy
AXISBANK | 2019-03 | FINANCIALS_SECTOR_CARVEOUT | high_leverage_flag suppressed (structurally normal for banks/NBFCs/insurance) | category=data source issue
AXISBANK | 2019-03 | ROE_ANOMALY | computed=6.90% source=18.40% diff=11.50pp | category=data source issue (source value likely stale/mis-scaled; ratio engine value used for analytics)
AXISBANK | 2020-03 | OPM_MISMATCH | computed=55.98% reported=-9859.00% | category=formula discrepancy
AXISBANK | 2020-03 | FINANCIALS_SECTOR_CARVEOUT | high_leverage_flag suppressed (structurally normal for banks/NBFCs/insurance) | category=data source issue
AXISBANK | 2020-03 | ROE_ANOMALY | computed=1.88% source=18.40% diff=16.52pp | category=data source issue (source value likely stale/mis-scaled; ratio engine value used for analytics)
AXISBANK | 2021-03 | OPM_MISMATCH | computed=50.12% reported=-2510.00% | category=formula discrepancy
AXISBANK | 2021-03 | FINANCIALS_SECTOR_CARVEOUT | high_leverage_flag suppressed (structurally normal for banks/NBFCs/insurance) | category=data source issue
AXISBANK | 2021-03 | ROE_ANOMALY | computed=6.36% source=18.40% diff=12.04pp | category=data source issue (source value likely stale/mis-scaled; ratio engine value used for analytics)
AXISBANK | 2022-03 | OPM_MISMATCH | computed=44.47% reported=3170.00% | category=formula discrepancy
AXISBANK | 2022-03 | FINANCIALS_SECTOR_CARVEOUT | high_leverage_flag suppressed (structurally normal for banks/NBFCs/insurance) | category=data source issue
AXISBANK | 2022-03 | ROE_ANOMALY | computed=11.01% source=18.40% diff=7.39pp | category=data source issue (source value likely stale/mis-scaled; ratio engine value used for analytics)
AXISBANK | 2023-03 | OPM_MISMATCH | computed=34.16% reported=13857.00% | category=formula discrepancy
AXISBANK | 2023-03 | FINANCIALS_SECTOR_CARVEOUT | high_leverage_flag suppressed (structurally normal for banks/NBFCs/insurance) | category=data source issue
AXISBANK | 2023-03 | ROE_ANOMALY | computed=7.38% source=18.40% diff=11.02pp | category=data source issue (source value likely stale/mis-scaled; ratio engine value used for analytics)
AXISBANK | 2024-03 | OPM_MISMATCH | computed=34.69% reported=11952.00% | category=formula discrepancy
AXISBANK | 2024-03 | FINANCIALS_SECTOR_CARVEOUT | high_leverage_flag suppressed (structurally normal for banks/NBFCs/insurance) | category=data source issue
